##Vehicle
"Name","Model","License plate","Fuel capacity(L)","Year","Notes"
"Renault","Megan","","60.00","2009",""

##Refuelling
"Odometer (km)","Date","Fuel","Price / L","Total cost","Volume","Filled tank completely","Second fuel","Price / L","Total cost","Volume","Filled tank completely 2","Third fuel","Price / L","Total cost","Volume","Filled tank completely 3","Fuel efficiency","Gas station","Driver","Payment method","Reason","Notes"
"217700","2024-11-03 08:55:20","Gasoline","7.15","295.30","41.30","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","5,74 L/100km","Rompetrol","andrei petru","","",""
"216980","2024-11-03 08:54:45","Gasoline","7.17","295.26","41.18","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","10,43 L/100km","Rompetrol","andrei petru","","",""
"216585","2024-11-03 08:53:04","Gasoline","7.20","196.13","27.24","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,63 L/100km","Mol - Vitesco Card","andrei petru","","",""
"216174","2024-11-03 08:51:16","Gasoline","7.04","133.27","18.93","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,76 L/100km","Mol - Vitesco Card","andrei petru","","",""
"215894","2024-11-03 08:49:54","Gasoline","7.20","245.81","34.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,67 L/100km","Mol - Vitesco Card","andrei petru","","",""
"215382","2024-11-03 08:48:43","Gasoline","7.00","164.15","23.45","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,80 L/100km","Mol - Vitesco Card","andrei petru","","",""
"215037","2024-11-03 08:46:43","Gasoline","6.95","233.59","33.61","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,76 L/100km","Mol - Vitesco Card","andrei petru","","",""
"214540","2024-09-21 12:31:04","Gasoline","6.97","246.60","35.38","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,60 L/100km","Mol - Vitesco Card","andrei petru","","",""
"214004","2024-09-21 12:30:21","Gasoline","7.14","316.09","44.27","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,74 L/100km","Mol - Vitesco Card","andrei petru","","",""
"213432","2024-09-14 13:27:39","Gasoline","6.98","278.50","39.90","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,68 L/100km","Mol - Vitesco Card","andrei petru","","",""
